na_rates,na_rates_actual,grouping_var,value,params,estimates
0.125,0.12583333333333332,sigma_11_Observed data_1,113.39439658693026,sigma_11,Observed data
0.13,0.12916666666666668,sigma_11_Observed data_1,114.94229500218496,sigma_11,Observed data
0.135,0.12583333333333332,sigma_11_Observed data_1,110.04182578406697,sigma_11,Observed data
0.14,0.14666666666666667,sigma_11_Observed data_1,115.09192356225836,sigma_11,Observed data
0.145,0.15166666666666667,sigma_11_Observed data_1,114.1154567331254,sigma_11,Observed data
0.15,0.16,sigma_11_Observed data_1,110.13034792279672,sigma_11,Observed data
0.155,0.14916666666666667,sigma_11_Observed data_1,114.96732103735603,sigma_11,Observed data
0.16,0.15083333333333335,sigma_11_Observed data_1,111.09150915118391,sigma_11,Observed data
0.165,0.1575,sigma_11_Observed data_1,116.88634100639354,sigma_11,Observed data
0.17,0.1575,sigma_11_Observed data_1,112.14751988880602,sigma_11,Observed data
0.17500000000000002,0.155,sigma_11_Observed data_1,113.85759810594443,sigma_11,Observed data
0.18,0.1875,sigma_11_Observed data_1,119.3603637882043,sigma_11,Observed data
0.185,0.19583333333333333,sigma_11_Observed data_1,117.43649474970634,sigma_11,Observed data
0.19,0.185,sigma_11_Observed data_1,107.2723846045032,sigma_11,Observed data
0.195,0.1875,sigma_11_Observed data_1,108.71507640590958,sigma_11,Observed data
0.2,0.21166666666666667,sigma_11_Observed data_1,115.19493720415097,sigma_11,Observed data
0.20500000000000002,0.185,sigma_11_Observed data_1,106.90443092957992,sigma_11,Observed data
0.21,0.2125,sigma_11_Observed data_1,113.50457368433236,sigma_11,Observed data
0.215,0.235,sigma_11_Observed data_1,113.98708189577624,sigma_11,Observed data
0.22,0.21083333333333334,sigma_11_Observed data_1,113.38538177699124,sigma_11,Observed data
0.225,0.22583333333333333,sigma_11_Observed data_1,107.03807368938284,sigma_11,Observed data
0.23,0.22333333333333333,sigma_11_Observed data_1,112.54281486492222,sigma_11,Observed data
0.23500000000000001,0.23666666666666666,sigma_11_Observed data_1,119.64975759042225,sigma_11,Observed data
0.24,0.22,sigma_11_Observed data_1,106.28046399751463,sigma_11,Observed data
0.245,0.2475,sigma_11_Observed data_1,117.33613334781352,sigma_11,Observed data
0.25,0.23833333333333334,sigma_11_Observed data_1,113.13915959658843,sigma_11,Observed data
0.255,0.24416666666666667,sigma_11_Observed data_1,112.76748417271233,sigma_11,Observed data
0.26,0.26,sigma_11_Observed data_1,118.27578645005023,sigma_11,Observed data
0.265,0.24583333333333332,sigma_11_Observed data_1,111.03610667785594,sigma_11,Observed data
0.27,0.24833333333333332,sigma_11_Observed data_1,117.25339032146323,sigma_11,Observed data
0.275,0.2625,sigma_11_Observed data_1,118.89536657026724,sigma_11,Observed data
0.28,0.27666666666666667,sigma_11_Observed data_1,104.02431024202409,sigma_11,Observed data
0.28500000000000003,0.2816666666666667,sigma_11_Observed data_1,120.97752883162048,sigma_11,Observed data
0.29,0.2758333333333333,sigma_11_Observed data_1,114.99357980627914,sigma_11,Observed data
